title_x,imdb_id,poster_path,wiki_link,title_y,original_title,is_adult,year_of_release,runtime,genres,imdb_rating,imdb_votes,story,summary,tagline,actors,wins_nominations,release_date
Mittal v/s Mittal,tt1607607,https://upload.wikimedia.org/wikipedia/en/thumb/a/ad/MvsM.jpg/220px-MvsM.jpg,https://en.wikipedia.org/wiki/Mittal_v/s_Mittal,Mittal v/s Mittal,Mittal v/s Mittal,0.0,2010,\N,Drama,4.8,9.0,Girls have dreams - dreams of a fairytale romance  of prince charming sweeping them off their feet  a dream wedding and living happily ever-after. Mitali  a successful model  also had dreams... Then one day she met Karan  the Mittal scion  the heir to one of the richest families in the country. Mitali 's simple  middle-class upbringing is in complete contrast to Karan's super-brat lifestyle. But Karan was smitten by Mitali. Accustomed to getting what he wants in life  Karan landed up at Mitali's home with his parents with a marriage proposal. Delighted at their daughter's luck  Mitali's family approved of the match. And Mitali entered Karan's home and life as his newly-wedded bride. It was not long before Mitali's dreams turned into her worst nightmare. Her mother-in-law detested her and created misunderstandings between Karan and her. Karan turned out to be a puppet in his mother's hands and her father-in-law is a helpless  mute spectator. Karan has a certain pattern of dealing with ...,Girls have dreams - dreams of a fairytale romance  of prince charming sweeping them off their feet  a dream wedding and living happily ever-after. Mitali  a successful model  also had ...                    ,,Hazel Croney|Gulshan Grover|Iravati Harshe|Suchitra Krishnamoorthi|Reema Lagoo|Rohit Roy|Rituparna Sengupta|Anjan Srivastav|Amar Talwar|,,19 March 2010 (India)
Zila Ghaziabad,tt2171454,https://upload.wikimedia.org/wikipedia/en/thumb/9/9e/Zilla_Ghaziabad.jpg/220px-Zilla_Ghaziabad.jpg,https://en.wikipedia.org/wiki/Zilla_Ghaziabad,Zila Ghaziabad,Zila Ghaziabad,0.0,2013,142,Action|Crime|Thriller,3.5,1187.0,In the city of Ghaziabad  gang war breaks between two rival groups led by Satbir Singh and Fauji. Thakur Pritam Singh  a corrupt police officer  is transferred to the city to handle the situation.,In the city of Ghaziabad  gang war breaks between two rival groups led by Satbir Singh and Fauji. Thakur Pritam Singh  a corrupt police officer  is transferred to the city to handle the situation.,,Vivek Oberoi|Sanjay Dutt|Arshad Warsi|Paresh Rawal|Ravi Kishan|Ashutosh Rana|Minissha Lamba|Divya Dutta|Sunil Grover|Charmy Kaur|Ashutosh Kaushik|Eijaz Khan|Anil Nagrath|Shriya Saran|,,22 February 2013 (India)
Aarakshan,tt1848771,https://upload.wikimedia.org/wikipedia/en/thumb/3/38/Aarakshan.jpg/220px-Aarakshan.jpg,https://en.wikipedia.org/wiki/Aarakshan,Aarakshan,Aarakshan,0.0,2011,164,Drama,6.2,4629.0,Following the Mandal Commission report and the Supreme Court of India's decision to maintain a 27 percent reservation for Dalits and lower/backward castes  right-winged political parties organize protests. The Principal of Shakuntala Thakral Mahavidyalal  a non-government college which is exempt from this mandate  gets in the limelight when it's Principal  Prabhakar Anand  endorses the decision - much to the ire of the trustees as well as the newly appointed Vice-Principal Mithilesh Singh  who has invested Rs.1200 Crores in private coaching classes. Prabhakar refuses to change his stand and ends up tendering his resignation  taking his family  consisting of his wife  Kavita and daughter  Poorbi  to live near Shambhu Yadav's Tabela after they find their family home being taken over by Mithilesh's coaching classes. Attempts to evict Mithilesh's staff will be in vain and will not only end up alienating the family from everyone but Prabhakar will also be summoned and possibly arrested for...,A decision by India's supreme court tests a man's friendships and loyalty.,,Amitabh Bachchan|Saif Ali Khan|Manoj Bajpayee|Deepika Padukone|Prateik|Tanvi Azmi|Saurabh Shukla|Darshan Jariwala|Yashpal Sharma|Mukesh Tiwari|Rajeev Verma|S.M. Zaheer|Chetan Pandit|Vinay Apte|,2 wins & 7 nominations,12 August 2011 (USA)
Roar: Tigers of the Sundarbans,tt3796006,https://upload.wikimedia.org/wikipedia/en/thumb/9/93/Poster_2-_Roar.jpg/220px-Poster_2-_Roar.jpg,https://en.wikipedia.org/wiki/Roar_(2014_film),ROAR: Tigers of the Sundarbans,ROAR: Tigers of the Sundarbans,0.0,2014,123,Action|Adventure|Sci-Fi,5.7,639.0,After his photojournalist brother gets killed by a white tigress in the jungles of the Sundarbans  Pandit and his team of commandos enter the prohibited core area of the forest to avenge his death.,After his photojournalist brother gets killed by a white tigress in the jungles of the Sundarbans  Pandit and his team of commandos enter the prohibited core area of the forest to avenge his death.,,Aadil Chahal|Ahran Chaudhary|Pranay Dixit|Subrat Dutta|Nora Fatehi|Virendra Singh Ghuman|Achint Kaur|Ali Quli Mirza|Abhinav Shukla|,1 win & 2 nominations,31 October 2014 (India)
Ladies vs Ricky Bahl,tt1954598,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/LadiesVsRickyBahl2.jpg/220px-LadiesVsRickyBahl2.jpg,https://en.wikipedia.org/wiki/Ladies_vs_Ricky_Bahl,Ladies vs. Ricky Bahl,Ladies vs. Ricky Bahl,0.0,2011,140,Comedy|Drama|Romance,5.9,8069.0,Dimple Chaddha (Parineeti Chopra)  a brash 19 year old Delhi college girl falls in love with Sunny Singh  a fitness trainer. Raina Parulekar (Dipannita Sharma)  a 28 year old independent and successful corporate woman in Mumbai does business with an art dealer Deven Shah. Saira Rashid (Aditi Sharma)  a 24 year old sweet  hard working widow in Lucknow makes a new friend  the shy Iqbal Khan. Three very different girls who each get taken for a lot of money by each of these three men. The problem is that it is actually just one man - Ricky Bahl (Ranveer Singh)  a suave and charming con-man who revels in the game and is only after the Money. A chance encounter brings these three women together who vow to take down Ricky Bahl and get their money back. The next step is the actual plan. Enter Ishika Desai (Anushka Sharma)  a young and ambitious girl whose street smart ways will one day  very soon  get her to the top. The furious trio  one professional con-man and a girl who loves adventure. ...,"A smooth and charming conman  Ricky Bahl  cons girls for a living but finally meets his match is this fun-filled ""ROM-CON.""",,Ranveer Singh|Anushka Sharma|Parineeti Chopra|Dipannita Sharma|Aditi Sharma|,7 wins & 3 nominations,9 December 2011 (India)
Jhalki,tt7743400,https://upload.wikimedia.org/wikipedia/en/thumb/e/e3/Jhalki_Movie_Official_Poster.jpg/220px-Jhalki_Movie_Official_Poster.jpg,https://en.wikipedia.org/wiki/Jhalki,Jhalki,Jhalki,0.0,2019,\N,Drama,,,A life-altering disappearance of her 7-year old brother sets Jhalki off on a mission to find him at all costs. Armed with an intimate folk-tale and her own sharp mind  is Jhalki's journey the start of a spiral that will change the lives of thousands for good? What price must she pay to get what she wants? Inspired by true events  with a backdrop of human-trafficking and child-labour  Jhalki becomes an atypical thriller of hope  courage  self-belief and perseverance  seen through the eyes of a 9-year-old girl  who will not stop anywhere short of a triumph.,A life-altering disappearance of her 7-year old brother sets Jhalki off on a mission to find him at all costs. Armed with an intimate folk-tale and her own sharp mind  is Jhalki's journey ...                    ,,Boman Irani|Tannishtha Chatterjee|Divya Dutta|Sanjay Suri|Akhilendra Mishra|Govind Namdeo|Yatin Karyekar|Joy Sengupta|Sailesh Dubey|Bachan Pachehra|Sanchita Goswami|Goraksha Sakpal|Vikram Singh|Aarti Jha|,,
7 Khoon Maaf,tt1629376,https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/7KhoonMaaf_poster_ver1.jpg/220px-7KhoonMaaf_poster_ver1.jpg,https://en.wikipedia.org/wiki/7_Khoon_Maaf,Seven Sins Forgiven,7 Khoon Maaf,0.0,2011,137,Drama|Mystery|Thriller,6.1,5059.0,After the passing of his Pondicherry-born mentor  Susanna  Mumbai-based Dr. Arun Kumar Singh narrates his story to his wife  Nalini. With photographs from an old album that he has never shared with anyone  he informs her as to how Susanna caught him stealing; got him to quit his job & enrolled in a Panchgani school  as well as arranged for further education in St. Petersburg. While Susanna herself searched for true love and her marriages with six deceased men - including the abusive Major Edwin Rodrigies; drug-addicted and womanizer guitarist-singer Jamshed Singh Rathore; impotent and abusive Mohammad Wasiullah Khan; bigamist/spy Nicolai Vronski; Inspector Keemat Lal; and Dr. Modhusodon Tarafdar - men who influenced her life  broke her heart - and met with sudden and mysterious deaths.,Susanna's quest for love leads to a series of marriages  each ending in the mysterious death of her latest husband.,,Priyanka Chopra|Vivaan Shah|Neil Nitin Mukesh|John Abraham|Irrfan Khan|Konkona Sen Sharma|Alexander Diachenko|Shashi Malviya|Annu Kapoor|Naseeruddin Shah|Usha Uthup|Manuj Bhaskar|Harish Khanna|Ayush Tandon|,5 wins & 10 nominations,18 February 2011 (USA)
Katti Batti,tt4467262,https://upload.wikimedia.org/wikipedia/en/thumb/f/f8/Katti-Batti-Poster-2015.jpg/220px-Katti-Batti-Poster-2015.jpg,https://en.wikipedia.org/wiki/Katti_Batti,Katti Batti,Katti Batti,0.0,2015,135,Comedy|Drama|Romance,4.9,2543.0,Katti Batti is an anti-love story starring Imran Khan as Madhav Kabra (Maddy) & Kangana Ranaut as Payal. Maddy is an architect who is in love with Payal because of her attitude towards life. The story revolves around Maddy & Payal's live-in relationship for 5 years until a sudden turn of events when Payal leaves Maddy mid-way!,A romantic comedy that follows Maddy and Payal's live-in relationship until a sudden turn of events creates a distance between them.,,Suhaas Ahuja|Vivan Bhatena|Imran Khan|Suparna Marwah|Gavin N. Methalaka|Mithila Palkar|Jimesh Patel|Chandan Raina|Kangana Ranaut|Abhishek Saha|,,18 September 2015 (USA)
Bajrangi Bhaijaan,tt3863552,https://upload.wikimedia.org/wikipedia/en/thumb/d/dd/Bajrangi_Bhaijaan_Poster.jpg/220px-Bajrangi_Bhaijaan_Poster.jpg,https://en.wikipedia.org/wiki/Bajrangi_Bhaijaan,Bajrangi Bhaijaan,Bajrangi Bhaijaan,0.0,2015,163,Action|Comedy|Drama,8.0,65877.0,A little mute girl from a Pakistani village gets lost on her return back from a trip to India. In Kurukshetra  she meets Pawan - an ardent devotee of Lord Hanuman - who is in the midst of a challenge posed by his lover's father. In trying to discover the girl's parents  he develops an unshakable bond with her. He tries to get into Pakistan through a path righteous to his conscience and later  accompanied with a smart Pakistani news reporter - a story that captures the imagination of the public in both countries.,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,,Salman Khan|Harshaali Malhotra|Nawazuddin Siddiqui|Kareena Kapoor|Sharat Saxena|Alka Badola Kaushal|Om Puri|Meher Vij|Rajesh Sharma|Mir Sarwar|Khushaal Pawar|Krunal Pandit|Manoj Bakshi|Mursaleem Qureshi|,25 wins & 13 nominations,17 July 2015 (USA)
Raabta (film),tt5542802,https://upload.wikimedia.org/wikipedia/en/thumb/8/8b/Raabta_poster.jpg/220px-Raabta_poster.jpg,https://en.wikipedia.org/wiki/Raabta_(film),Raabta,Raabta,0.0,2017,147,Action|Adventure|Drama,4.1,2667.0,In 2017  Shiv and Saira fall for each other and form an inseparable connection. Until  Saira crosses paths with a reincarnated lover from a previous lifetime who is determined to make her his lover again.,In 2017  Shiv and Saira fall for each other and form an inseparable connection. Until  Saira crosses paths with a reincarnated lover from a previous lifetime who is determined to make her his lover again.,,Deepika Padukone|Kriti Sanon|Sushant Singh Rajput|Rajkummar Rao|Varun Sharma|Jim Sarbh|Vikas Verma|Karan Singh Chhabra|Suneel Sinha|Manpreet Toor|Rina Fatania|Nidhi Subbaiah|Rachita Singh|Jashan Singh Kohli|,1 win & 1 nomination,9 June 2017 (USA)
Bazaar E Husn,tt3854246,https://upload.wikimedia.org/wikipedia/en/thumb/6/6d/Poster_Of_Bazaar_E_Husn.jpg/220px-Poster_Of_Bazaar_E_Husn.jpg,https://en.wikipedia.org/wiki/Bazaar_E_Husn,Bazaar E Husn,Bazaar E Husn,0.0,2014,125,Drama,5.0,12.0,Bazaar-e-Husn is a film based on Munshi Premchand's novel Bazaar E Husn. The story revolves around Suman  a courtesan. Brought up by an honest Police Inspector  Suman's life goes through all kinds of turmoil. From being harassed for dowry to becoming a victim of domestic abuse  Suman suffers a lot but at the end rises like a phoenix. How did a simpleton like Suman end up as a courtesan? How does she break free from all the difficulties in her life? Bazaar-e-Husn answers all these questions and more beautifully.,Bazaar-e-Husn is a film based on Munshi Premchand's novel Bazaar E Husn. The story revolves around Suman  a courtesan. Brought up by an honest Police Inspector  Suman's life goes through ...                    ,,Reshmi Ghosh|Jeet Goswami|Om Puri|Rajeshwari Sachdev|Virendra Saxena|Yashpal Sharma|Upasna Singh|,,18 July 2014 (India)
Tanu Weds Manu: Returns,tt2140465,https://upload.wikimedia.org/wikipedia/en/thumb/3/3f/Tanu_weds_Manu_poster.jpg/220px-Tanu_weds_Manu_poster.jpg,https://en.wikipedia.org/wiki/Tanu_Weds_Manu:_Returns,Tanu Weds Manu Returns,Tanu Weds Manu Returns,0.0,2015,128,Comedy|Drama|Romance,7.7,24338.0,Tanu and Manu's marriage collapses. What happens when Manu meets Tanu's lookalike Kusum - and when Tanu returns?,Tanu and Manu's marriage collapses. What happens when Manu meets Tanu's lookalike Kusum - and when Tanu returns?,,Kangana Ranaut|Madhavan|Jimmy Sheirgill|Swara Bhaskar|Rajesh Sharma|Mohammed Zeeshan Ayyub|Eijaz Khan|Deepak Dobriyal|Manu Rishi Chadha|Raj Awasti|Gaurav Mishra|Aakash Dahiya|Alex Jaep|,11 wins & 15 nominations,22 May 2015 (USA)
Paathshaala,tt1194236,https://upload.wikimedia.org/wikipedia/en/thumb/5/55/Paathshaala1.jpg/220px-Paathshaala1.jpg,https://en.wikipedia.org/wiki/Paathshaala,Paathshaala,Get Educated: Paathshaala,0.0,2010,122,Drama|Family,4.9,1413.0,Rahul Prakash Udyavar joins Saraswati Vidya Mandir  which is located in Mumbai's Eastern suburbs  as an English Teacher. Shortly thereafter he also agrees to teach music at the request of Nutritionist  Anjali Mathur. With the school facing shortage of funds  pressure is being brought by Manager Lallan Sharma to try to get students' parents to pay more for a variety of activities. When the Principal  Aditya Sahay  supports Lallan  the students and staff are forced to raise funds. Despite of their best efforts  however  a stage will be set for a much-publicized confrontation that may well result in the closure of this institution.,A new English school-teacher also teaches music but ends up leading both teachers and students to revolt against the school management.,,Nana Patekar|Shahid Kapoor|Ayesha Takia|Sushant Singh|Saurabh Shukla|Anjan Srivastav|Kurush Deboo|Sanatan Mody|Shraddha Arya|Kainaz Motivala|Dwij Yadav|Swini Khara|Ali Haji|,,16 April 2010 (India)
Saheb Biwi Aur Gangster,tt2073070,https://upload.wikimedia.org/wikipedia/en/thumb/c/ca/Saheb_Biwi_Aur_Gangster_Poster.jpg/220px-Saheb_Biwi_Aur_Gangster_Poster.jpg,"https://en.wikipedia.org/wiki/Saheb,_Biwi_Aur_Gangster",Saheb Biwi Aur Gangster,Saheb Biwi Aur Gangster,0.0,2011,118,Action|Crime|Drama,7.2,3709.0,After the death of his first wife  wealthy Raja Aditya Pratap Singh  re-marries another woman  simply known as Chhoti Rani  who subsequently becomes mentally unstable. His father's former mistress  Badi Rani  controls the wealth  while he himself has a mistress. Unable to procure contracts through Mantri Prabhu Tiwari  he decides to stand for elections  while his rival  Ghenda Singh  recruits an assassin  Babalu  who is also the nephew of Sunder  Chhoti Rani's chauffeur  to kill Aditya. After Sunder is unable to drive due to an injury  he recommends Babalu  and Aditya hires him. Babalu settles down in his new job  attempts to get accepted by everyone  including Chhoti Rani  who he finds attractive. He soon finds out that she  too  has feelings for him  and then starts making plans of not only carrying out his assigned task but also becoming the next Saheb.,Hired to kill a nobleman  the assassin instead falls for the former's unstable wife.,,Jimmy Sheirgill|Mahie Gill|Randeep Hooda|Shreya Narayan|Deepal Shaw|Rajiv Gupta|Deep Raj Rana|Vipin Sharma|Kanika Dang|Sonal Joshi|Mukti Mohan|Sitaram Panchal|Rahul Mittra|Brijendra Kala|,3 nominations,23 September 2011 (USA)
Striker (2010 film),tt1573482,https://upload.wikimedia.org/wikipedia/en/thumb/d/df/Striker_poster.jpg/220px-Striker_poster.jpg,https://en.wikipedia.org/wiki/Striker_(2010_film),Striker,Striker,0.0,2010,128,Action|Crime|Drama,7.0,966.0,Amidst strictly enforced curfew by Bombay Police during December 1992 following Hindu-Muslim riots  Suryakant - one of four siblings from Malad's Malvani slums  heads home. While doing so  he reflects on his childhood; his sisters: Devi and Rajni; brother Chandrakant; his dad  Shashikant  as well his mother; his expertise with the Carrom-board; run-ins with extortionist-goon  Jaleel Khan; his friendship with Zaid Khan; his crush on Noorie as well as his plans to find employment in Dubai; why he could not attend Devi's marriage  as well as the tragedy that awaits him.,Amidst strictly enforced curfew by Bombay Police during December 1992 following Hindu-Muslim riots  Suryakant - one of four siblings from Malad's Malvani slums  heads home. While doing so  ...                    ,,Siddharth|Ankur Vikal|Anupam Kher|Vidya Malvade|Seema Biswas|Padmapriya|Nicolette Bird|Anup Soni|Rajendra Gupta|Aditya Pancholi|Sitaram Panchal|Pushpendar Sain|Kuldeep Sareen|Ashok Beniwal|,,5 February 2010 (USA)
P Se Pyaar F Se Faraar,tt10816510,https://upload.wikimedia.org/wikipedia/en/7/74/P_Se_Pyaar_F_Se_Faraar_poster.jpg,https://en.wikipedia.org/wiki/P_Se_Pyaar_F_Se_Faraar,P Se Pyaar F Se Faraar,P Se Pyaar F Se Faraar,0.0,2019,131,Crime|Drama|Romance,7.8,777.0,In Mathura  the ancient city immortalized by the legendary love of Lord Krishna and Radha  two college going kids belonging to different class and caste strata of the North Indian society fall in love. The kind of turbulent and violent reactions that follow between the communities of the said lovers makes the revered city of love turn into the city of extreme hate. The questions are  will a modern day Krishna arise within the warring clans and what all he can do to restore the sanity and sanctity of love. The film is a statement against hate crimes which are taking massive tolls on numerous talented youth of this country.,High-school sweethearts Suraj Maali and Janvi Singh are well aware of their diverse socio-economic backgrounds and so  the young lovers opt for marriage by elopement. This  in turn  conjures up a storm the couple isn't prepared for.,,Bhavesh Kumar|Jimmy Sheirgill|Kumud Mishra|Sanjay Mishra|Girish Kulkarni|Zakir Hussain|Brijendra Kala|Akhilendra Mishra|Asif Basra|Neha Joshi|,,18 October 2019 (India)
